Roll Number,MID-I Marks (20),MID-II Marks (20),Attendance Marks (5)
A22126520147,3,9,0
A23126520111,8,0,0
A23126520112,16,2,3
A23126520113,10,0,3
A23126520114,17,10,5
A23126520115,1,6,0
A23126520116,8,6,0
A23126520117,6,6,2
A23126520118,6,8,2
A23126520119,8,12,0
A23126520120,8,5,2
A23126520122,16,13,4
A23126520123,4,9,0
A23126520124,9,19,4
A23126520125,0,3,0
A23126520126,7,18,0
A23126520127,4,14,3
A23126520128,17,13,5
A23126520129,0,4,3
A23126520130,10,14,5
A23126520131,2,5,2
A23126520132,9,4,5
A23126520133,6,7,4
A23126520134,8,17,3
A23126520135,4,7,2
A23126520136,13,6,3
A23126520137,8,5,3
A23126520138,10,9,2
A23126520139,7,10,0
A23126520140,7,2,2
A23126520141,9,3,3
A23126520142,8,0,2
A23126520143,9,1,3
A23126520144,11,1,3
A23126520145,6,3,0
A23126520146,7,8,0
A23126520147,10,4,0
A23126520148,13,8,3
A23126520150,13,16,0
A23126520151,19,20,5
A23126520152,10,0,0
A23126520153,12,3,2
A23126520154,11,5,5
A23126520155,11,15,3
A23126520156,19,18,2
A23126520157,4,6,0
A23126520158,18,16,5
A23126520159,17,16,0
A23126520160,14,14,5
A23126520161,10,14,4
A23126520162,9,15,2
A23126520163,14,6,3
A23126520164,13,6,3
A23126520173,1,10,0
A23126520174,12,17,3
A23126520175,18,20,5
A23126520176,10,20,2
A23126520177,15,18,0
A23126520178,16,14,2
A23126520179,3,2,3
A23126520180,8,14,5
A23126520181,13,13,3
A23126520182,6,11,2
A23126520183,0,10,3
A23126520235,3,0,0
