Roll Number,Internal Script Marks (15),Attendance Marks (5)
A22126520147,10,2
A23126520111,13,0
A23126520112,14,0
A23126520113,13,4
A23126520114,14,5
A23126520115,14,5
A23126520116,13,2
A23126520117,13,2
A23126520118,14,2
A23126520119,13,0
A23126520120,13,5
A23126520122,14,4
A23126520123,11,4
A23126520124,11,2
A23126520125,13,0
A23126520126,13,4
A23126520127,13,3
A23126520128,14,5
A23126520129,8,2
A23126520130,14,5
A23126520131,12,0
A23126520132,14,5
A23126520133,11,5
A23126520134,14,4
A23126520135,11,4
A23126520136,14,0
A23126520137,14,5
A23126520138,13,0
A23126520139,13,2
A23126520140,13,5
A23126520141,12,0
A23126520142,13,2
A23126520143,8,4
A23126520144,14,3
A23126520145,8,0
A23126520146,12,3
A23126520147,11,0
A23126520148,12,3
A23126520150,13,0
A23126520151,14,3
A23126520152,7,2
A23126520153,13,3
A23126520154,12,3
A23126520155,12,5
A23126520156,14,3
A23126520157,7,0
A23126520158,14,5
A23126520159,11,2
A23126520160,13,2
A23126520161,11,2
A23126520162,13,3
A23126520163,13,5
A23126520164,13,0
A23126520173,8,0
A23126520174,13,2
A23126520175,14,5
A23126520176,12,3
A23126520177,13,5
A23126520178,14,5
A23126520179,9,2
A23126520180,13,5
A23126520181,13,2
A23126520182,10,2
A23126520183,12,2
A23126520235,13,0
